id,prompt,llama_response,qwen_response,mistral_response,agreement_score
9577,Example prompt 9577,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.97
9578,Example prompt 9578,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.942
9579,Example prompt 9579,Paris is the capital of France.,Different answer,Alternative response,0.193
9580,Example prompt 9580,Water boils at 100°C.,Different answer,Alternative response,0.134
9581,Example prompt 9581,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.882
9582,Example prompt 9582,Water boils at 100°C.,Different answer,Alternative response,0.052
9583,Example prompt 9583,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.545
9584,Example prompt 9584,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.296
9585,Example prompt 9585,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.783
9586,Example prompt 9586,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.966
9587,Example prompt 9587,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.294
9588,Example prompt 9588,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.619
9589,Example prompt 9589,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.998
9590,Example prompt 9590,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.494
9591,Example prompt 9591,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.905
9592,Example prompt 9592,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.623
9593,Example prompt 9593,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.485
9594,Example prompt 9594,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.516
9595,Example prompt 9595,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.51
9596,Example prompt 9596,The Earth orbits the Sun.,Different answer,Alternative response,0.156
9597,Example prompt 9597,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.92
9598,Example prompt 9598,Water boils at 100°C.,Different answer,Alternative response,0.194
9599,Example prompt 9599,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.296
9600,Example prompt 9600,Water boils at 100°C.,Different answer,Alternative response,0.117
9601,Example prompt 9601,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.442
9602,Example prompt 9602,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.483
9603,Example prompt 9603,The Earth orbits the Sun.,Different answer,Alternative response,0.034
9604,Example prompt 9604,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.771
9605,Example prompt 9605,Water boils at 100°C.,Different answer,Alternative response,0.198
9606,Example prompt 9606,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.266
9607,Example prompt 9607,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.589
9608,Example prompt 9608,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.652
9609,Example prompt 9609,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.321
9610,Example prompt 9610,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.408
9611,Example prompt 9611,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.622
9612,Example prompt 9612,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.466
9613,Example prompt 9613,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.437
9614,Example prompt 9614,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.733
9615,Example prompt 9615,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.655
9616,Example prompt 9616,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.216
9617,Example prompt 9617,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.709
9618,Example prompt 9618,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.343
9619,Example prompt 9619,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.575
9620,Example prompt 9620,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.257
9621,Example prompt 9621,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.716
9622,Example prompt 9622,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.545
9623,Example prompt 9623,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.507
9624,Example prompt 9624,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.399
9625,Example prompt 9625,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.567
9626,Example prompt 9626,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.62
9627,Example prompt 9627,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.443
9628,Example prompt 9628,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.256
9629,Example prompt 9629,Water boils at 100°C.,Different answer,Alternative response,0.105
9630,Example prompt 9630,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.268
9631,Example prompt 9631,The Earth orbits the Sun.,Different answer,Alternative response,0.071
9632,Example prompt 9632,Water boils at 100°C.,Different answer,Alternative response,0.01
9633,Example prompt 9633,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.298
9634,Example prompt 9634,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.974
9635,Example prompt 9635,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.483
9636,Example prompt 9636,The Earth orbits the Sun.,Different answer,Alternative response,0.142
9637,Example prompt 9637,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.826
9638,Example prompt 9638,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.225
9639,Example prompt 9639,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.71
9640,Example prompt 9640,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.725
9641,Example prompt 9641,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.298
9642,Example prompt 9642,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.289
9643,Example prompt 9643,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.286
9644,Example prompt 9644,The Earth orbits the Sun.,Different answer,Alternative response,0.052
9645,Example prompt 9645,The Earth orbits the Sun.,Different answer,Alternative response,0.03
9646,Example prompt 9646,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.452
9647,Example prompt 9647,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.942
9648,Example prompt 9648,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.813
9649,Example prompt 9649,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.881
9650,Example prompt 9650,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.234
9651,Example prompt 9651,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.603
9652,Example prompt 9652,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.995
9653,Example prompt 9653,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.778
9654,Example prompt 9654,The Earth orbits the Sun.,Different answer,Alternative response,0.128
9655,Example prompt 9655,Water boils at 100°C.,Different answer,Alternative response,0.16
9656,Example prompt 9656,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.307
9657,Example prompt 9657,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.633
9658,Example prompt 9658,Paris is the capital of France.,Different answer,Alternative response,0.018
9659,Example prompt 9659,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.54
9660,Example prompt 9660,The Earth orbits the Sun.,Different answer,Alternative response,0.154
9661,Example prompt 9661,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.668
9662,Example prompt 9662,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.333
9663,Example prompt 9663,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.65
9664,Example prompt 9664,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.361
9665,Example prompt 9665,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.663
9666,Example prompt 9666,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.442
9667,Example prompt 9667,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.643
9668,Example prompt 9668,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.843
9669,Example prompt 9669,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.5
9670,Example prompt 9670,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.565
9671,Example prompt 9671,Water boils at 100°C.,Different answer,Alternative response,0.147
9672,Example prompt 9672,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.87
9673,Example prompt 9673,The Earth orbits the Sun.,Different answer,Alternative response,0.19
9674,Example prompt 9674,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.219
9675,Example prompt 9675,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.873
9676,Example prompt 9676,Water boils at 100°C.,Different answer,Alternative response,0.157
9677,Example prompt 9677,Water boils at 100°C.,Different answer,Alternative response,0.159
9678,Example prompt 9678,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.757
9679,Example prompt 9679,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.235
9680,Example prompt 9680,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.765
9681,Example prompt 9681,The Earth orbits the Sun.,Different answer,Alternative response,0.11
9682,Example prompt 9682,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.625
9683,Example prompt 9683,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.95
9684,Example prompt 9684,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.615
9685,Example prompt 9685,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.505
9686,Example prompt 9686,Paris is the capital of France.,Different answer,Alternative response,0.164
9687,Example prompt 9687,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.393
9688,Example prompt 9688,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.33
9689,Example prompt 9689,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.582
9690,Example prompt 9690,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.825
9691,Example prompt 9691,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.705
9692,Example prompt 9692,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.384
9693,Example prompt 9693,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.796
9694,Example prompt 9694,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.839
9695,Example prompt 9695,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.63
9696,Example prompt 9696,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.491
9697,Example prompt 9697,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.908
9698,Example prompt 9698,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.242
9699,Example prompt 9699,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.514
9700,Example prompt 9700,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.861
9701,Example prompt 9701,Water boils at 100°C.,Different answer,Alternative response,0.145
